BRENNTAG SAN BERNARDO;#008000;-33.533050537109 -70.702079772949|-33.533718109131 -70.702461242676|-33.536285400391 -70.702392578125|-33.533550262451 -70.700759887695|-33.533050537109 -70.702079772949
LIPIGAS MAIPU;#008000;-33.528926849365 -70.749237060547|-33.530212402344 -70.751533508301|-33.529140472412 -70.752906799316|-33.527690887451 -70.750190734863|-33.528926849365 -70.749237060547
ABASTIBLE  Maipú, Región Metropolitana de Santiago, República de Chile;#008000;-33.528865814209 -70.748901367188|-33.524906158447 -70.752006530762|-33.52433013916 -70.750747680664|-33.526371002197 -70.748924255371|-33.525699615479 -70.747512817383|-33.527374267578 -70.74617767334|-33.528865814209 -70.748901367188
CLARIANT MAIPU;#008000;-33.534290313721 -70.766357421875|-33.535034179688 -70.76766204834|-33.538459777832 -70.76229095459|-33.537536621094 -70.761169433594|-33.534290313721 -70.766357421875
FOSFOQUIM PADRE HURTADO;#008000;-33.559776306152 -70.820930480957|-33.558612823486 -70.818420410156|-33.559646606445 -70.817687988281|-33.560771942139 -70.82022857666|-33.560035705566 -70.820579528809|-33.559776306152 -70.820930480957
LIPIGAS IQUIQUE;#008000;-20.215847015381 -70.131408691406|-20.216014862061 -70.13069152832|-20.216854095459 -70.130874633789|-20.21674156189 -70.131568908691|-20.215847015381 -70.131408691406
GASCO COQUIMBO;#008000;-29.972891858344 -71.267778873444|-29.972885131836 -71.268501281738|-29.973972320557 -71.2685546875|-29.97399520874 -71.267990112305|-29.972891858344 -71.267778873444
QC TERMINALES SAN ANTONIO;#ff4500;-33.581218719482 -71.62255859375|-33.580780029297 -71.623878479004|-33.579967498779 -71.62442779541|-33.579662322998 -71.624069213867|-33.580532073975 -71.622276306152|-33.581218719482 -71.62255859375
TERQUIM SAN ANTONIO;#008000;-33.593730926514 -71.621116638184|-33.594715118408 -71.620780944824|-33.595832824707 -71.622146606445|-33.59400177002 -71.622772216797|-33.593730926514 -71.621116638184
CONCENTRADOR CODELCO D ANDINA;#008000;-33.094345092773 -70.254989624023|-33.096088409424 -70.253662109375|-33.096340179443 -70.253959655762|-33.094451904297 -70.255462646484|-33.094345092773 -70.254989624023
CODELCO DV ANDINA SALADILLO LOS ANDES;#008000;-32.924785614014 -70.290031433105|-32.924335479736 -70.287605285645|-32.926723480225 -70.284637451172|-32.92720413208 -70.287231445312|-32.924785614014 -70.290031433105
CODELCO DET  planta reactivos;#008000;-34.088264465332 -70.460456848145|-34.088786512557 -70.461861014075|-34.090188403876 -70.46123993404|-34.089539784915 -70.460126519349|-34.088665080118 -70.460019230988|-34.088264465332 -70.460456848145
ENAP ACONCAGUA  CONCON;#008000;-32.924087524414 -71.506164550781|-32.92504119873 -71.506317138672|-32.926509857178 -71.507118225098|-32.928688049316 -71.508010864258|-32.92951965332 -71.505874633789|-32.931453704834 -71.500259399414|-32.929958343506 -71.498054504395|-32.927562713623 -71.497116088867|-32.928085327148 -71.493896484375|-32.927146911621 -71.492820739746|-32.925868988037 -71.492324829102|-32.924682617188 -71.496681213379|-32.924247741699 -71.500526428223|-32.92399597168 -71.502456665039|-32.922538757324 -71.504470825195|-32.921943664551 -71.505867004395|-32.921962738037 -71.506660461426|-32.923347473145 -71.506233215332|-32.924087524414 -71.506164550781
